full_names	species	clades	nb_rnaseq
Manis_javanica	Manis_javanica	Manis javanica	Mammalia	42
Marchantia_polymorpha	Marchantia_polymorpha	Marchantia polymorpha	Embryophyta	35
Marmota_flaviventris	Marmota_flaviventris	Marmota flaviventris	Mammalia	43
Mastomys_coucha	Mastomys_coucha	Mastomys coucha	Mammalia	5
Megachile_rotundata	Megachile_rotundata	Megachile rotundata	Hymenoptera	108
Melanaphis_sacchari	Melanaphis_sacchari	Melanaphis sacchari	Other Insecta	6
Melipona_quadrifasciata	Melipona_quadrifasciata	Melipona quadrifasciata	Hymenoptera	1
Melitaea_cinxia	Melitaea_cinxia	Melitaea cinxia	Lepido Diptera	50
Meloidogyne_enterolobii	Meloidogyne_enterolobii	Meloidogyne enterolobii	Nematoda	7
Melospiza_melodia	Melospiza_melodia	Melospiza melodia	Aves	10
Meriones_unguiculatus	Meriones_unguiculatus	Meriones unguiculatus	Mammalia	34
Microcebus_murinus	Microcebus_murinus	Microcebus murinus	Mammalia	31
Micropterus_salmoides	Micropterus_salmoides	Micropterus salmoides	Teleostei	10
Microtus_ochrogaster	Microtus_ochrogaster	Microtus ochrogaster	Mammalia	19
Mikania_micrantha	Mikania_micrantha	Mikania micrantha	Embryophyta	50
Miniopterus_natalensis	Miniopterus_natalensis	Miniopterus natalensis	Mammalia	18
Mirounga_leonina	Mirounga_leonina	Mirounga leonina	Mammalia	2
Miscanthus_lutarioriparius	Miscanthus_lutarioriparius	Miscanthus lutarioriparius	Embryophyta	50
Molossus_molossus	Molossus_molossus	Molossus molossus	Mammalia	9
Molothrus_ater	Molothrus_ater	Molothrus ater	Aves	31
Momordica_charantia	Momordica_charantia	Momordica charantia	Embryophyta	33
Monodelphis_domestica	Monodelphis_domestica	Monodelphis domestica	Mammalia	269
Morella_rubra	Morella_rubra	Morella rubra	Embryophyta	50
Morus_notabilis	Morus_notabilis	Morus notabilis	Embryophyta	8
Motacilla_alba	Motacilla_alba	Motacilla alba	Aves	8
Mucuna_pruriens	Mucuna_pruriens	Mucuna pruriens	Embryophyta	2
Mus_musculus	Mus_musculus	Mus musculus	Mammalia	317
Mus_pahari	Mus_pahari	Mus pahari	Mammalia	14
Musa_acuminata	Musa_acuminata	Musa acuminata	Embryophyta	50
Musa_balbisiana	Musa_balbisiana	Musa balbisiana	Embryophyta	40
Musca_domestica	Musca_domestica	Musca domestica	Lepido Diptera	12
Mustela_putorius	Mustela_putorius	Mustela putorius	Mammalia	50
Myotis_brandtii	Myotis_brandtii	Myotis brandtii	Mammalia	15
Myotis_lucifugus	Myotis_lucifugus	Myotis lucifugus	Mammalia	50
Myotis_myotis	Myotis_myotis	Myotis myotis	Mammalia	40
Naja_naja	Naja_naja	Naja naja	Other Vertebrates	31
Nasonia_vitripennis	Nasonia_vitripennis	Nasonia vitripennis	Hymenoptera	114
Necator_americanus	Necator_americanus	Necator americanus	Nematoda	17
Nelumbo_nucifera	Nelumbo_nucifera	Nelumbo nucifera	Embryophyta	50
Nematolebias_whitei	Nematolebias_whitei	Nematolebias whitei	Teleostei	6
Neomonachus_schauinslandi	Neomonachus_schauinslandi	Neomonachus schauinslandi	Mammalia	1
Neophocaena_asiaeorientalis	Neophocaena_asiaeorientalis	Neophocaena asiaeorientalis	Mammalia	8
Nicotiana_attenuata	Nicotiana_attenuata	Nicotiana attenuata	Embryophyta	50
Nicotiana_sylvestris	Nicotiana_sylvestris	Nicotiana sylvestris	Embryophyta	20
Nicotiana_tabacum	Nicotiana_tabacum	Nicotiana tabacum	Embryophyta	50
Nicotiana_tomentosiformis	Nicotiana_tomentosiformis	Nicotiana tomentosiformis	Embryophyta	19
Nicrophorus_vespilloides	Nicrophorus_vespilloides	Nicrophorus vespilloides	Other Insecta	46
Nothobranchius_furzeri	Nothobranchius_furzeri	Nothobranchius furzeri	Teleostei	50
Nothoprocta_perdicaria	Nothoprocta_perdicaria	Nothoprocta perdicaria	Aves	6
Notolabrus_celidotus	Notolabrus_celidotus	Notolabrus celidotus	Teleostei	50
Numida_meleagris	Numida_meleagris	Numida meleagris	Aves	50
Nyctereutes_procyonoides	Nyctereutes_procyonoides	Nyctereutes procyonoides	Mammalia	13
Nylanderia_fulva	Nylanderia_fulva	Nylanderia fulva	Hymenoptera	40
Nymphaea_colorata	Nymphaea_colorata	Nymphaea colorata	Embryophyta	14
Nymphaea_thermarum	Nymphaea_thermarum	Nymphaea thermarum	Embryophyta	16
Nyssa_sinensis	Nyssa_sinensis	Nyssa sinensis	Embryophyta	1
Octopus_bimaculoides	Octopus_bimaculoides	Octopus bimaculoides	Other Invertebrates	50
Odocoileus_virginianus	Odocoileus_virginianus	Odocoileus virginianus	Mammalia	31
Odontomachus_brunneus	Odontomachus_brunneus	Odontomachus brunneus	Hymenoptera	19
Oenanthe_oenanthe	Oenanthe_oenanthe	Oenanthe oenanthe	Aves	8
Oesophagostomum_dentatum	Oesophagostomum_dentatum	Oesophagostomum dentatum	Nematoda	34
Olea_europaea	Olea_europaea	Olea europaea	Embryophyta	50
Oncorhynchus_kisutch	Oncorhynchus_kisutch	Oncorhynchus kisutch	Teleostei	6
Oncorhynchus_mykiss	Oncorhynchus_mykiss	Oncorhynchus mykiss	Teleostei	47
Onthophagus_taurus	Onthophagus_taurus	Onthophagus taurus	Other Insecta	53
Onychomys_torridus	Onychomys_torridus	Onychomys torridus	Mammalia	30
